Address,Transaction Count,Current Value (in BTC)
32B5bw2ohLfvgBva2B4X3aao9iDa7Eakp5,30571,32.14910861
1Lwr4gRvN4oxNFp2Pj9dm4rk8btx8wY9Lc,3604,49.92753515
35mXGRz2VFQ2hxD9NJa1QV7nKqzpZXimfc,26545,6.78936809
39JkkbFDz9vZYS3Dtk4GurTGxbzQnYq7SK,19,12.051
3DCTmCRbMZecGfAXvvhMxHx6PhqvnmKrUY,27,0.001
3FfVf6YVQzpbLFrpTvHnMjhBd8SvQfEyNg,18,14.08187891
3BTCxMWkzGTS2ypqTZfcEJ6PAjQiDg3mqc,26,0
3HZJu1j9DCAhFQ6JpoEZFYA4eVTuvK48kM,17,0.15529108
bc1qg8ajxmaspgr65236lzjsjcfv5z43dfrz9t60wlz78v02m46p09gqyuxana,2,0
1KfLhnLnMS3rFsGoK2j2weX86oyuJ45w56,14,0
18Z2BkUfC8v7ramRfM14KEagLu9JT7TDFt,8,53.64708875
1DQiMfCDth5tf5hSEWNwtWNkQHdwFG9pQ8,112,0
3A7H98tHmMcs9W6dNxVJAMb7xWaJnQatYk,92,0
33oNfLb3G1DZeC6k2SFW6nLkzXbW5B3ZHi,9,0
326QoZyNgS84PFN1V24kWoYy3UPAW6bhT6,4,0
38VPbeLpr8jEq7PKk5TTP9m8XHrnG78hW8,23448,10.79231465
3BC7LTtHSYtixayiG1WtgZZXKjoCeUguyE,2,1.0001
158ZQdFJxCzt4PqCqdMzQfw3aeR9YFP3Y5,6315,42.04776607
1MRUBv3WD9ZKWCJydqHdwuAhN9FiR8Nwzy,3504,19.99874052
35kPNYhiZ5Pcf9kb5n9tbzcCSF5CH5wsbH,4603,17.72951176
1PwFoNSjqXE92mkZ97rNyUA1ni6Vu2w897,3495,24.75449507
32KafbVDmai77A61nTrXpvMML3bX2ccoqH,42,0
bc1qw0pswznckx7s6tjmd2f5hrx4q6kc5nyrdxku50,448,"15,798.49"
1GX28yLjVWux7ws4UQ9FB4MnLH4UKTPK2z,6014,0.17588527
3Cg5tHusjqNbv5MKuhRqm8wx7Gg8UCJC1C,1667,8
1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY,82963,329.086584
1KGG9kvV5zXiqyQAMfY32sGt9eFLMmgpgX,1597,1.00002188
3BHXygmhNMaCcNn76S8DLdnZ5ucPtNtWGb,992,"14,738.22"
38XnPvu9PmonFU9WouPXUjYbW91wa5MerL,6853,188.64702079 
1PspbXiSzBcFt9DrRJcsqyqicHzA4EjCf4,14740,4.1010101
3HemupHqq87JWkhNhVd1FP76UFhpDcQxh5,137,0.19813362
358RT7CQEt9KXfCyiqap1g2kCtRNhjDmbt,4,0
bc1qedmdc8s7at662ne2ql2ffctwy0a7jla5fe6qck,197,0
12dRugNcdxK39288NjcDV4GX7rMsKCGn6B,17379,0
3QmwRxUVQSobeKnNWSjtYmRbU2uxYQzRrG,1,0.0001
32EvxB9UVoBxhKagSZrJSHCbvwsxYTZq2r,2,0.0005
3HWoPgZ2MbmRtfE384978QTk9fsvUTppG1,3,0.0001
3N8n8cvjJVTMvfKpdESZtocWBbz8YcZK93,341, 0.0001
19zQVA771UivHpZPidQGXJknTbwBbMx3iq,618,0
39rtVLdZtTJ2McjkhWYgciH6FMeLa3YELG,16,0
38gqKkMcby8X5NhsoSTTy1BEpytbRQrSJB,1, 0.7709979
114poyHWwucxv5QPMNwnxR6XJApePC17ZS,338,0
3HemupHqq87JWkhNhVd1FP76UFhpDcQxh5,137,0.19813362
bc1qkzyw0xpqlgup9maqz7ns5w95n6xw2682q7ny4g,2,0
3K4yJQ2LenYSNMEkKRtxpTkxp3CrUbEfbk,2,0
3BaosMJLTRzLJZF9EUNzSTv3kXf1kuFT9m,2,0
bc1q4mavdgt5my0sudcmu63p2sd5y8mugcehrm3tnu,2,0
bc1q9ucy9z8hzd0555qdnm0r37kvuvuqdluhlgt394,62,0
1vhk5DCCuhmivHMuHmZLPP6bwkSf2TTzY,4834,0.18510758
bc1qh2sdjvmryw64tcmflsc7secfeyx56lc4qgpd6k,292,0.62320869
3QPksazCacX4mHSH3scNtmxTjWvNjPphGG,23,0.01031373
1DHcTFxtCJibnK5jApktXGQy3q86RLfanH,14,0
bc1qjzj8xt4q06xhjrmlsccxt6524cucwaxsl5ge9p,36,0.21442599
1HqHcufJVMBHNR1abbY3mwddmNUZuKdoFe,10,0
bc1q2lygmcncwdgq2az9mf7ns0cyqf7nmt4c5zyscj,24,0.03135731
bc1q8598fc4a2a5fknve4rqzryyf4m7n3k29tumnhy,46,0.48236787
3JTWtCMgPcpEoLUKuKe713xysDcg1RmPKY,302,0.23720678
1GfPW966m9rCeTS4WzTseCkNdudbYwKBux,570,0
bc1qft0d5kdunzt4kr6egc00snr3v6ck2akkusrtm0,84, 0.30444011
1eXG8fxkJpeZT9Rb33BhfqQFxv7iGoUUw,76,0.01044354
bc1q9xdasqw348nd9cumgrex8h8as2yw0nesmffj04,8,0.02012294
1J3uMVF2i4gY85pDwiH1TM8LJLu6H51FaQ,603,0.00523992
3CKGRuJ2m7ctGZ9vjsCCub81sQEnFGt6Aj,21,0.11003593
bc1qplhjd5s3qal7hcmutf9w07xt9e98jzn296d9uy,9,0.04738263
37EfwUFBHWvvsbRftWz9BdPbX3a1gmord5,8,0.04532164
bc1qdru6q0pur9rnuur3ajk0jgv9kjsxletgyjdqam,38,0
bc1qyregjp28zxew9g7yhvwscypeplejcafucrt4nc,107,0.26312434
3GhumXdCpDvRT9yXURJWTfdntJtCitQ6ky,351,3.83257341
1Evwe4QfRdhWZ3VKXtmRfn3kS89RdJZmgf,458,0
12pvuAB1s4nUUHpD6HLt4A7bchv7sD29vZ,232,0.00970168
bc1q7ltc5c69kwe08vtjd9vq8s6px35czpfzpuf8j4,235,0.02432133
bc1q54xu8n6xg6hdmjg36hz7k95naajglflh3unqtx,132, 0.54916907
